tweet_id,retweet_count,favorite_count,retweeted_status
860276583193509888,3745,19154,Original tweet
860184849394610176,6295,17474,Original tweet
860177593139703809,33421,0,This is a retweet
859924526012018688,4349,20021,Original tweet
859851578198683649,3780,16105,Original tweet
859607811541651456,1704,19476,Original tweet
859196978902773760,25661,75193,Original tweet
859074603037188101,14740,35553,Original tweet
858860390427611136,8805,0,This is a retweet
858843525470990336,3771,16304,Original tweet
858471635011153920,5271,22640,Original tweet
858107933456039936,3154,16524,Original tweet
857989990357356544,2812,16952,Original tweet
857746408056729600,11524,36021,Original tweet
857393404942143489,1785,6236,Original tweet
857263160327368704,4934,21041,Original tweet
857214891891077121,20,242,Original tweet
857062103051644929,183,0,This is a retweet
857029823797047296,4364,19910,Original tweet
856602993587888130,11633,0,This is a retweet
856543823941562368,3131,17135,Original tweet
856526610513747968,2068,12446,Original tweet
856330835276025856,731,0,This is a retweet
856288084350160898,17,545,Original tweet
856282028240666624,6841,29086,Original tweet
855862651834028034,27,320,Original tweet
855860136149123072,1058,4407,Original tweet
855857698524602368,2313,12498,Original tweet
855851453814013952,19196,47844,Original tweet
855818117272018944,5943,28056,Original tweet
855459453768019968,8987,31657,Original tweet
855245323840757760,6568,0,This is a retweet
855138241867124737,50,0,This is a retweet
854732716440526848,6690,24188,Original tweet
854482394044301312,7608,31131,Original tweet
854365224396361728,5159,20046,Original tweet
854120357044912130,8285,33911,Original tweet
854010172552949760,3433,17169,Original tweet
853760880890318849,6403,30414,Original tweet
853639147608842240,11265,37198,Original tweet
853299958564483072,3928,16508,Original tweet
852936405516943360,2243,0,This is a retweet
852912242202992640,2037,9658,Original tweet
852672615818899456,2388,15939,Original tweet
852553447878664193,3885,17492,Original tweet
852311364735569921,10961,35325,Original tweet
852226086759018497,7570,21378,Original tweet
852189679701164033,1741,12217,Original tweet
851953902622658560,10706,0,This is a retweet
851861385021730816,23,0,This is a retweet
851591660324737024,3819,17300,Original tweet
851464819735769094,7855,25944,Original tweet
851224888060895234,6350,22090,Original tweet
850753642995093505,10352,33348,Original tweet
850380195714523136,2915,13994,Original tweet
850333567704068097,367,3647,Original tweet
850145622816686080,4244,17519,Original tweet
850019790995546112,5459,21944,Original tweet
849776966551130114,8404,32390,Original tweet
849668094696017920,5513,0,This is a retweet
849412302885593088,3487,17039,Original tweet
849336543269576704,2101,12240,Original tweet
849051919805034497,7396,32617,Original tweet
848690551926992896,4826,27104,Original tweet
848324959059550208,4037,20229,Original tweet
848213670039564288,832,8834,Original tweet
848212111729840128,3444,17618,Original tweet
847978865427394560,3652,0,This is a retweet
847971574464610304,482,0,This is a retweet
847962785489326080,5730,25296,Original tweet
847842811428974592,1522,5935,Original tweet
847617282490613760,468,7558,Original tweet
847606175596138505,3774,20208,Original tweet
847251039262605312,4800,22036,Original tweet
847157206088847362,6572,21588,Original tweet
847116187444137987,3583,23108,Original tweet
846874817362120707,4404,21685,Original tweet
846514051647705089,13076,48410,Original tweet
846505985330044928,3492,15304,Original tweet
846153765933735936,10226,34394,Original tweet
846139713627017216,10972,33188,Original tweet
846042936437604353,3224,17256,Original tweet
845812042753855489,9894,31737,Original tweet
845677943972139009,5365,27154,Original tweet
845459076796616705,15071,0,This is a retweet
845397057150107648,2072,8241,Original tweet
845306882940190720,6039,25225,Original tweet
845098359547420673,8640,0,This is a retweet
844979544864018432,2909,14738,Original tweet
844973813909606400,3617,16361,Original tweet
844704788403113984,11633,42022,Original tweet
844580511645339650,3533,17871,Original tweet
844223788422217728,2450,14753,Original tweet
843981021012017153,3285,16327,Original tweet
843856843873095681,5220,23211,Original tweet
843604394117681152,3081,18310,Original tweet
843235543001513987,6852,23315,Original tweet
842892208864923648,56625,0,This is a retweet
842846295480000512,4023,16440,Original tweet
842765311967449089,1439,7321,Original tweet
842535590457499648,3937,19637,Original tweet
842163532590374912,6568,26569,Original tweet
842115215311396866,3386,15204,Original tweet
841833993020538882,17504,0,This is a retweet
841680585030541313,8748,27854,Original tweet
841439858740625411,4168,13755,Original tweet
841320156043304961,6080,21402,Original tweet
841314665196081154,5312,17305,Original tweet
841077006473256960,5991,24926,Original tweet
840761248237133825,1972,0,This is a retweet
840728873075638272,18285,0,This is a retweet
840698636975636481,3,197,Original tweet
840696689258311684,1116,13377,Original tweet
840632337062862849,1972,9761,Original tweet
840370681858686976,5146,17918,Original tweet
840268004936019968,6497,20950,Original tweet
839990271299457024,2597,14640,Original tweet
839549326359670784,8805,29957,Original tweet
839290600511926273,158,0,This is a retweet
839239871831150596,7422,29684,Original tweet
838952994649550848,4505,21289,Original tweet
838921590096166913,2357,12183,Original tweet
838916489579200512,38,0,This is a retweet
838831947270979586,12643,0,This is a retweet
838561493054533637,1504,11892,Original tweet
838476387338051585,5484,24664,Original tweet
838201503651401729,11525,0,This is a retweet
838150277551247360,370,1824,Original tweet
838085839343206401,0,150,Original tweet
838083903487373313,3582,19183,Original tweet
837820167694528512,8952,37277,Original tweet
837482249356513284,495,4204,Original tweet
837471256429613056,2631,13967,Original tweet
837366284874571778,6005,23074,Original tweet
837110210464448512,2731,17480,Original tweet
837012587749474308,88,0,This is a retweet
836989968035819520,2610,13879,Original tweet
836753516572119041,5237,21029,Original tweet
836677758902222849,2522,13782,Original tweet
836648853927522308,626,0,This is a retweet
836397794269200385,31314,0,This is a retweet
836380477523124226,3337,16037,Original tweet
836260088725786625,4850,23177,Original tweet
836001077879255040,4935,20924,Original tweet
835685285446955009,9327,0,This is a retweet
835574547218894849,4121,19447,Original tweet
835536468978302976,1939,0,This is a retweet
835309094223372289,24013,0,This is a retweet
835297930240217089,3381,17847,Original tweet
835264098648616962,1939,8503,Original tweet
835246439529840640,83,2259,Original tweet
835172783151792128,6516,28552,Original tweet
835152434251116546,3443,24574,Original tweet
834931633769889797,1878,11838,Original tweet
834786237630337024,6159,22943,Original tweet
834574053763584002,2882,14993,Original tweet
834477809192075265,12224,0,This is a retweet
834458053273591808,1899,10512,Original tweet
834209720923721728,5476,22594,Original tweet
834167344700198914,4130,17194,Original tweet
834089966724603904,2427,10971,Original tweet
834086379323871233,2512,14296,Original tweet
833863086058651648,2729,14661,Original tweet
833826103416520705,3904,16728,Original tweet
833732339549220864,251,0,This is a retweet
833722901757046785,3636,22585,Original tweet
833479644947025920,2357,16258,Original tweet
833124694597443584,5513,22133,Original tweet
832998151111966721,2522,14549,Original tweet
832769181346996225,43,0,This is a retweet
832757312314028032,4127,18423,Original tweet
832682457690300417,3368,13017,Original tweet
832645525019123713,594,3195,Original tweet
832636094638288896,3220,17379,Original tweet
832397543355072512,2548,13126,Original tweet
832369877331693569,3652,18792,Original tweet
832273440279240704,2673,12385,Original tweet
832215909146226688,7069,0,This is a retweet
832215726631055365,10723,0,This is a retweet
832088576586297345,3,72,Original tweet
832040443403784192,11131,0,This is a retweet
832032802820481025,4746,13887,Original tweet
831939777352105988,7031,26404,Original tweet
831926988323639298,39,369,Original tweet
831911600680497154,7458,30380,Original tweet
831670449226514432,2059,11469,Original tweet
831650051525054464,2243,7908,Original tweet
831552930092285952,2632,9872,Original tweet
831322785565769729,1744,10042,Original tweet
831315979191906304,1264,7117,Original tweet
831309418084069378,2786,12819,Original tweet
831262627380748289,2350,13066,Original tweet
830956169170665475,1735,8735,Original tweet
830583320585068544,19297,73397,Original tweet
830173239259324417,6554,0,This is a retweet
830097400375152640,3455,10804,Original tweet
829878982036299777,5757,0,This is a retweet
829861396166877184,2243,13441,Original tweet
829501995190984704,12224,34913,Original tweet
829449946868879360,2329,11519,Original tweet
829374341691346946,10706,38074,Original tweet
829141528400556032,8530,26952,Original tweet
829011960981237760,18627,58302,Original tweet
828801551087042563,3901,0,This is a retweet
828770345708580865,6746,28085,Original tweet
828708714936930305,12882,40241,Original tweet
828650029636317184,1544,10467,Original tweet
828409743546925057,1305,6898,Original tweet
828408677031882754,1477,8398,Original tweet
828381636999917570,2554,13864,Original tweet
828376505180889089,1216,8112,Original tweet
828372645993398273,3344,13756,Original tweet
828361771580813312,195,2408,Original tweet
828046555563323392,3260,12923,Original tweet
828011680017821696,2451,11411,Original tweet
827933404142436356,5987,22180,Original tweet
827653905312006145,3433,16983,Original tweet
827600520311402496,1082,8143,Original tweet
827324948884643840,3510,17523,Original tweet
827228250799742977,13517,0,This is a retweet
827199976799354881,2579,11659,Original tweet
826958653328592898,5757,23767,Original tweet
826848821049180160,11878,40325,Original tweet
